City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-0.15,100,100,2.57,CA,1682310506
1,punta arenas,-53.15,-70.9167,6.06,87,100,5.14,CL,1682310506
2,flin flon,54.7682,-101.865,-3.38,92,36,2.48,CA,1682310506
3,kanoya,31.3833,130.85,17.54,58,100,5.88,JP,1682310506
4,san matias,-16.3667,-58.4,22.53,88,48,0.72,BO,1682310507
5,kodiak,57.79,-152.4072,0.73,55,100,7.72,US,1682310507
6,grytviken,-54.2811,-36.5092,1.36,81,70,9.24,GS,1682310507
7,vila velha,-20.3297,-40.2925,22.19,89,75,1.03,BR,1682310507
8,iskateley,67.6803,53.1512,-6.07,90,22,7.25,RU,1682310508
9,talnakh,69.4865,88.3972,1.23,83,91,3.82,RU,1682310508
10,port-aux-francais,-49.35,70.2167,4.34,61,97,14.64,TF,1682310508
11,palmer,42.1584,-72.3287,8.23,87,100,1.54,US,1682310509
12,villa nueva,14.5269,-90.5875,21.01,87,20,4.12,GT,1682310509
13,tepatitlan de morelos,20.8167,-102.7333,19.44,18,70,0.9,MX,1682310509
14,tadine,-21.55,167.8833,26.15,76,43,5.29,NC,1682310509
15,sete,43.4018,3.6966,12.92,73,45,4.73,FR,1682310510
16,albany,42.6526,-73.7562,7.41,86,100,4.12,US,1682310510
17,adamstown,-25.066,-130.1015,24.68,88,97,7.82,PN,1682310510
18,susuman,62.7833,148.1667,-3.0,75,100,7.55,RU,1682310510
19,lebu,-37.6167,-73.65,11.12,87,5,4.04,CL,1682310511
20,blackmans bay,-43.0167,147.3167,19.83,46,2,0.92,AU,1682310511
21,christchurch,-43.5333,172.6333,13.84,51,16,7.72,NZ,1682310469
22,oban,56.4127,-5.4706,3.54,70,69,3.84,GB,1682310511
23,thompson,55.7435,-97.8558,-1.91,59,20,1.03,CA,1682310512
24,ust-nera,64.5667,143.2,-3.49,91,100,3.68,RU,1682310512
25,lubango,-14.9172,13.4925,16.92,88,40,1.54,AO,1682310337
26,chonchi,-42.6128,-73.8092,4.51,94,1,0.67,CL,1682310513
27,mount pearl,47.5166,-52.7813,2.2,96,100,7.72,CA,1682310513
28,west island,-12.1568,96.8225,28.99,79,40,6.17,CC,1682310513
29,georgetown,6.8045,-58.1553,26.16,91,100,1.3,GY,1682310513
30,rio grande,-32.035,-52.0986,19.78,89,100,4.77,BR,1682310513
31,arraial do cabo,-22.9661,-42.0278,22.05,69,0,1.69,BR,1682310514
32,hamilton,43.2334,-79.9496,5.28,81,100,2.57,CA,1682310515
33,tottori,35.5,134.2333,14.04,30,75,6.69,JP,1682310515
34,edinburgh of the seven seas,-37.0676,-12.3116,14.28,67,78,10.63,SH,1682310515
35,bilibino,68.0546,166.4372,0.85,77,2,2.47,RU,1682310515
36,bethel,41.3712,-73.414,9.72,86,100,2.06,US,1682310242
37,fort mcmurray,56.7268,-111.381,9.77,43,100,2.06,CA,1682310516
38,keflavik,64.0049,-22.5624,2.95,87,75,1.03,IS,1682310516
39,okhotsk,59.3833,143.3,2.73,59,97,2.31,RU,1682310516
40,waitangi,-43.9535,-176.5597,9.9,85,100,0.45,NZ,1682310517
41,uturoa,-16.7333,-151.4333,27.31,78,60,2.72,PF,1682310517
42,jamestown,42.097,-79.2353,4.77,87,100,3.09,US,1682310292
43,pervomayskoye,43.919,46.7102,13.53,74,93,1.36,RU,1682310517
44,hawaiian paradise park,19.5933,-154.9731,24.73,89,75,4.63,US,1682310518
45,kyzyl-mazhalyk,51.1333,90.6,5.57,39,100,1.09,RU,1682310518
46,constantia,-34.0314,18.4183,17.79,94,100,3.6,ZA,1682310518
47,waddan,29.1614,16.139,15.46,83,84,4.31,LY,1682310518
48,port mathurin,-19.6833,63.4167,26.22,80,19,8.76,MU,1682310518
49,saudarkrokur,65.7461,-19.6394,0.67,67,57,0.27,IS,1682310519
50,kolonia town,6.964,158.206,29.0,74,100,1.54,FM,1682310519
51,tongliao,43.6125,122.2653,16.86,11,55,6.69,CN,1682310519
52,badger,64.8,-147.5333,-7.49,57,100,6.69,US,1682310519
53,nadi,-17.8,177.4167,29.0,70,40,4.63,FJ,1682310520
54,north platte,41.1239,-100.7654,7.29,39,65,4.92,US,1682310520
55,kailua-kona,19.6406,-155.9956,26.98,87,100,3.09,US,1682310416
56,tura,25.5198,90.2201,30.11,36,7,0.95,IN,1682310265
57,puerto ayora,-0.7393,-90.3518,25.31,92,45,1.79,EC,1682310520
58,puerto natales,-51.7236,-72.4875,6.93,98,100,0.26,CL,1682310521
59,midvagur,62.0511,-7.1939,1.46,60,100,5.66,FO,1682310521
60,macapa,0.0389,-51.0664,24.99,94,75,0.51,BR,1682310521
61,isla vista,34.4133,-119.861,16.57,72,0,1.54,US,1682310521
62,yellowknife,62.456,-114.3525,3.09,75,20,3.6,CA,1682310327
63,roma,41.8947,12.4839,16.26,70,83,3.58,IT,1682310427
64,loukhi,66.0764,33.0381,-2.04,77,100,2.02,RU,1682310522
65,curuca,-0.7289,-47.8481,23.25,95,100,1.33,BR,1682310522
66,ban karon,7.8477,98.2985,31.95,70,97,3.28,TH,1682310522
67,tiksi,71.6872,128.8694,-6.02,86,35,2.9,RU,1682310522
68,kingston,17.997,-76.7936,26.53,69,20,3.6,JM,1682310523
69,margaret river,-33.95,115.0667,14.31,64,79,7.5,AU,1682310523
70,utrik,11.2278,169.8474,26.97,82,34,9.15,MH,1682310523
71,isiolo,0.3546,37.5822,21.14,82,99,0.51,KE,1682310523
72,lorengau,-2.0226,147.2712,29.75,72,88,4.38,PG,1682310524
73,worthing,50.8145,-0.3713,8.31,87,18,1.79,GB,1682310524
74,north bay,46.3168,-79.4663,2.19,93,100,2.06,CA,1682310524
75,kipushi,-11.7667,27.2333,15.13,95,100,1.59,CD,1682310524
76,minas de marcona,-15.2119,-75.1103,17.8,80,0,3.59,PE,1682310524
77,houghton,47.1219,-88.569,-1.29,85,75,3.09,US,1682310414
78,invercargill,-46.4,168.35,11.68,82,90,0.89,NZ,1682310249
79,xiongzhou,25.1167,114.3,16.98,90,100,2.14,CN,1682310525
80,jumla,29.2747,82.1838,11.88,42,100,1.26,NP,1682310525
81,puerto deseado,-47.7503,-65.8938,12.07,64,21,7.31,AR,1682310525
82,mahibadhoo,3.7833,72.9667,29.03,75,100,3.41,MV,1682310525
83,wailua homesteads,22.0669,-159.378,25.24,91,100,3.09,US,1682310525
84,college,64.8569,-147.8028,-7.45,58,100,6.69,US,1682310526
85,luderitz,-26.6481,15.1594,16.96,54,100,1.99,NA,1682310526
86,stanley,54.868,-1.6985,4.04,87,75,6.17,GB,1682310526
87,hays,38.8792,-99.3268,7.99,36,0,3.6,US,1682310523
88,greymouth,-42.4667,171.2,13.34,58,4,2.97,NZ,1682310526
